month,gid,gcode,game_date_local,tip_local_time,tip_away_local_time,tip_et_time,arena,city,state,status_code,status_text,visitor_abbr,visitor_team,visitor_city,home_abbr,home_team,home_city,utc_date,utc_time,seq,broadcasters_tv,broadcasters_radio,broadcasters_ott,broadcasters_natltv
January,0022500629,20260122/DENWAS,2026-01-22,2026-01-22T19:00:00,2026-01-22T17:00:00,2026-01-22T19:00:00,Capital One Arena,Washington,DC,1,7:00 pm ET,DEN,Nuggets,Denver,WAS,Wizards,Washington,2026-01-23,00:00,3,"ALT/KTVD, Monumental Sports Network",Altitude Sports Radio 92.5 FM,,
January,0022500630,20260122/GSWDAL,2026-01-22,2026-01-22T18:30:00,2026-01-22T16:30:00,2026-01-22T19:30:00,American Airlines Center,Dallas,TX,1,7:30 pm ET,GSW,Warriors,Golden State,DAL,Mavericks,Dallas,2026-01-23,00:30,4,"NBCSBA, Prime Video","95.7 The Game, 97.1 FM / S: 99.1 FM, ESPN Radio",,Prime Video
January,0022500631,20260122/CHIMIN,2026-01-22,2026-01-22T19:00:00,2026-01-22T19:00:00,2026-01-22T20:00:00,Target Center,Minneapolis,MN,1,8:00 pm ET,CHI,Bulls,Chicago,MIN,Timberwolves,Minnesota,2026-01-23,01:00,5,"Chicago Sports Network, FanDuel Sports Network - North",,,
January,0022500632,20260122/SASUTA,2026-01-22,2026-01-22T19:00:00,2026-01-22T20:00:00,2026-01-22T21:00:00,Delta Center,Salt Lake City,UT,1,9:00 pm ET,SAS,Spurs,San Antonio,UTA,Jazz,Utah,2026-01-23,02:00,6,KJZZ,"KZNS / KSL / S: KTUB, WOAI/KXTN",Jazz+,
January,0022500633,20260122/LALLAC,2026-01-22,2026-01-22T19:00:00,2026-01-22T19:00:00,2026-01-22T22:00:00,Intuit Dome,Inglewood,CA,1,10:00 pm ET,LAL,Lakers,Los Angeles,LAC,Clippers,LA,2026-01-23,03:00,7,Prime Video,ESPN LA 710/1330 KWKW,,Prime Video
January,0022500634,20260122/MIAPOR,2026-01-22,2026-01-22T19:00:00,2026-01-22T22:00:00,2026-01-22T22:00:00,Moda Center,Portland,OR,1,10:00 pm ET,MIA,Heat,Miami,POR,Trail Blazers,Portland,2026-01-23,03:00,8,"FanDuel Sports Network - Sun, KUNP","FM 104.3 WQAM, 560 AM   / S: WAQI 710, Rip City Radio 620",BlazerVision,
January,0022500635,20260123/HOUDET,2026-01-23,2026-01-23T19:00:00,2026-01-23T18:00:00,2026-01-23T19:00:00,Little Caesars Arena,Detroit,MI,1,7:00 pm ET,HOU,Rockets,Houston,DET,Pistons,Detroit,2026-01-24,00:00,1,"Prime Video, Space City Home Network","790 AM / S: KLTN TUDN, 97.1 FM The Ticket",,Prime Video
January,0022500636,20260123/PHXATL,2026-01-23,2026-01-23T19:30:00,2026-01-23T17:30:00,2026-01-23T19:30:00,State Farm Arena,Atlanta,GA,1,7:30 pm ET,PHX,Suns,Phoenix,ATL,Hawks,Atlanta,2026-01-24,00:30,2,"Arizona's Family 3TV / Arizona's Family Sports, FanDuel Sports Network - Southeast - Atlanta","KMVP 98.7 / S: KSUN, WZGC",Suns+,
January,0022500637,20260123/BOSBKN,2026-01-23,2026-01-23T19:30:00,2026-01-23T19:30:00,2026-01-23T19:30:00,Barclays Center,Brooklyn,NY,1,7:30 pm ET,BOS,Celtics,Boston,BKN,Nets,Brooklyn,2026-01-24,00:30,3,"NBC SPORTS BOSTON, YES",98.5 The Sports Hub,,
January,0022500638,20260123/SACCLE,2026-01-23,2026-01-23T19:30:00,2026-01-23T16:30:00,2026-01-23T19:30:00,Rocket Arena,Cleveland,OH,1,7:30 pm ET,SAC,Kings,Sacramento,CLE,Cavaliers,Cleveland,2026-01-24,00:30,4,"FanDuel Sports Network - Ohio, NBCSCA",Sactown Sports 1140 AM,,
